Time,Average Temperature (Â°C),Rain Probability (%)
2025-04-25 06:00:00,23,30
2025-04-25 07:00:00,23,30
2025-04-25 08:00:00,23,30
2025-04-25 09:00:00,23,30
2025-04-25 10:00:00,24,30
2025-04-25 11:00:00,24,30
2025-04-25 12:00:00,24,30
2025-04-25 13:00:00,24,30
2025-04-25 14:00:00,24,30
2025-04-25 15:00:00,24,50
2025-04-25 16:00:00,23,50
2025-04-25 17:00:00,23,50
2025-04-25 18:00:00,23,40
2025-04-25 19:00:00,22,40
2025-04-25 20:00:00,22,40
2025-04-25 21:00:00,22,30
2025-04-25 22:00:00,22,30
2025-04-25 23:00:00,22,30
2025-04-26 00:00:00,22,40
2025-04-26 01:00:00,22,40
2025-04-26 02:00:00,21,40
2025-04-26 03:00:00,21,50
2025-04-26 04:00:00,21,50
2025-04-26 05:00:00,21,50
2025-04-26 06:00:00,21,60
2025-04-26 07:00:00,21,60
2025-04-26 08:00:00,22,60
2025-04-26 09:00:00,22,50
2025-04-26 10:00:00,23,50
2025-04-26 11:00:00,23,50
2025-04-26 12:00:00,24,60
2025-04-26 13:00:00,24,60
2025-04-26 14:00:00,24,60
2025-04-26 15:00:00,24,40
2025-04-26 16:00:00,23,40
2025-04-26 17:00:00,23,40
2025-04-26 18:00:00,23,30
2025-04-26 21:00:00,22,20
2025-04-27 00:00:00,22,20
2025-04-27 03:00:00,22,20
2025-04-27 06:00:00,22,20
2025-04-27 09:00:00,25,20
2025-04-27 12:00:00,28,30
2025-04-27 15:00:00,28,30
2025-04-27 18:00:00,26,20
2025-04-27 21:00:00,25,20
2025-04-28 00:00:00,24,20
2025-04-28 03:00:00,23,20
2025-04-28 06:00:00,23,30
2025-04-28 09:00:00,24,30
2025-04-28 12:00:00,26,40
2025-04-28 15:00:00,26,50
2025-04-28 18:00:00,24,50
2025-04-28 21:00:00,23,30
2025-04-29 00:00:00,22,20
2025-04-29 03:00:00,21,20
2025-04-26 19:00:00,23,30
2025-04-26 20:00:00,23,30
2025-04-26 22:00:00,23,20
2025-04-26 23:00:00,22,20
2025-04-29 06:00:00,21,20
2025-04-29 09:00:00,23,20
